Depth,GR,RT,RHOB,NPHI,Facies
3178.5,50.21899999999999,0.5888,2.3296,0.3657,SH
3179.5,49.5247,1.0707,2.296,0.539,SH
3181.0,49.0612,0.5514,2.2463,0.4549,SH
3182.5,55.0654,0.8402,2.2596,0.5668,SH
3183.0,56.6087,0.779,2.2648,0.6461,SH
3186.0,35.0097,0.9458,2.286,0.3617,SS
3187.0,42.7756,0.9059999999999999,2.2582,0.3306,SS
3187.5,36.8906,0.9787,2.3742,0.3431,SS
3188.0,36.3915,1.8003,2.3691,0.4434,SS
3188.5,37.8743,2.0679,2.2007,0.3231,SS
3189.0,37.9704,1.9653,2.3363,0.2832,SS
3189.5,38.5575,1.6463,2.4335,0.2499,CB
3194.5,40.5004,0.8799,2.3922,0.5062,SH
3195.0,40.6223,0.9279999999999999,2.3302,0.4379999999999999,SH
3195.5,40.7137,1.081,2.416,0.5761,SH
3196.0,40.8052,1.2358,2.2886,0.5872,SH
3196.5,40.9271,1.122,2.3398,0.4335,SH
3197.0,41.0186,1.1239,2.3426,0.3967,SH
3198.0,41.2014,1.121,2.4345,0.3108,SH
3199.0,41.4148,1.5427,2.4048,0.4858,SH
3199.5,30.2669,1.3977,2.226,0.4323,SS
3200.0,22.6395,1.039,2.0735,0.7475,SS
3200.5,24.5745,1.2901,2.0916,0.368,SS
3201.0,26.4986,1.3056,2.1163,0.4909,SS
3202.0,47.9987,1.2583,2.2523,0.3815,SH
3202.5,51.1699,1.5308,2.2613,0.2767,SS
3203.0,53.5273,1.3439,2.4172,0.3053,SH
3203.5,51.36199999999999,1.1402,2.3348,0.36,SH
3204.0,50.8239,1.2151,2.1828,0.3137,SS
3204.5,53.8065,1.312,2.292,0.4082,SH
3205.5,44.5478,0.9229999999999999,2.1543,0.3505,SS
3207.5,55.9973,0.5214,2.3838,0.4099,SH
3208.5,39.4435,0.483,2.4576,0.2108,CB
3209.0,49.1165,0.5710000000000001,2.4176,0.3293,SH
3210.0,47.1959,0.7040000000000001,2.1916,0.3152,SS
3211.0,48.5002,2.4248,2.282,0.4329,SH
3211.5,49.5676,1.5097,2.2292,0.4569,SH
3212.0,48.6794,0.5392,2.104,0.2424,SS
3213.0,33.5864,0.556,2.1822,0.2309,SS
3213.5,31.0673,0.451,2.1805,0.2337,SS
